wav_path,start_sec,end_sec,species,population,notes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Single Unit Rolling Call - G zanzibaricus - Pugu.wav,,,Paragalago_rondoensis,pugu,from shortlist priority=229.99; model_top1=Galagoides_sp_nov (0.333); source=predictions_3stage_tanzania_tuned_strong_context.csv; confirm/relabel by listening
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Chatter G rondoensis - Rondo.wav,,,Paragalago_rondoensis,rondo,from shortlist priority=220.0; model_top1=Otolemur_crassicaudatus (1.000); source=predictions_3stage_tanzania_tuned_strong_context.csv; confirm/relabel by listening
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.1\Yap + Vib Squeaks_02 G sp nov 1.wav,,,Galagoides_sp_nov,malawi_spnov1,from shortlist priority=199.99; model_top1=Galagoides_demidovii (0.333); source=predictions_3stage_malawi_balanced.csv; confirm/relabel by listening
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Buzz + Rapid Whistle - G rondoensis -Pugu.wav,,,Paragalago_rondoensis,pugu,from shortlist priority=180.0; model_top1=Galagoides_sp_nov (1.000); source=predictions_3stage_tanzania_tuned_strong_context.csv; confirm/relabel by listening
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Buzz + Rapid whistle G rondoensis - Rondo.wav,,,Paragalago_rondoensis,rondo,from shortlist priority=180.0; model_top1=Galagoides_sp_nov (1.000); source=predictions_3stage_tanzania_tuned_strong_context.csv; confirm/relabel by listening
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Pande-GR-durc1 24KHz.wav,,,Paragalago_rondoensis,pande,from shortlist priority=180.0; model_top1=Galagoides_sp_nov (1.000); source=predictions_3stage_tanzania_tuned_strong_context.csv; confirm/relabel by listening
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Buzz - G rondoensis - Pugu.wav,,,Paragalago_rondoensis,pugu,from shortlist priority=178.15; model_top1=Galagoides_sp_nov (0.963); source=predictions_3stage_tanzania_tuned_strong_context.csv; confirm/relabel by listening
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Chatter G sp nov 3.wav,,,Galagoides_sp_nov,malawi_spnov3,from shortlist priority=150.0; model_top1=Otolemur_garnettii (1.000); source=predictions_3stage_malawi_balanced.csv; confirm/relabel by listening
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Descending Whistle G sp nov 3.wav,,,Galagoides_sp_nov,malawi_spnov3,from shortlist priority=150.0; model_top1=Paragalago_orinus (1.000); source=predictions_3stage_malawi_balanced.csv; confirm/relabel by listening
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Double Screech G sp nov 3.wav,,,Galagoides_sp_nov,malawi_spnov3,from shortlist priority=150.0; model_top1=Otolemur_crassicaudatus (1.000); source=predictions_3stage_malawi_balanced.csv; confirm/relabel by listening
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Double Squeak G sp nov 3.wav,,,Galagoides_sp_nov,malawi_spnov3,from shortlist priority=150.0; model_top1=Paragalago_zanzibaricus (1.000); source=predictions_3stage_malawi_balanced.csv; confirm/relabel by listening
