wav_path,start_sec,end_sec,species,population,notes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Single Unit Rolling Call - G zanzibaricus - Pugu.wav,,,Paragalago_zanzibaricus,,stub from cluster shortlist; folder_label=Paragalago_rondoensis; output=uncertain; top1=Galagoides_sp_nov p1=0.333; filename_hint: zanzibaricus in filename under Paragalago_rondoensis folder
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Chatter G rondoensis - Rondo.wav,,,Paragalago_rondoensis,,stub from cluster shortlist; folder_label=Paragalago_rondoensis; output=uncertain; top1=Paragalago_orinus p1=1.000; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_crassicaudatus\O_crassicaudatus_Chatter.wav,,,Otolemur_crassicaudatus,,stub from cluster shortlist; folder_label=Otolemur_crassicaudatus; output=uncertain; top1=Galagoides_demidovii p1=0.333; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_crassicaudatus\O_crassicaudatus_Knocks.wav,,,Otolemur_crassicaudatus,,stub from cluster shortlist; folder_label=Otolemur_crassicaudatus; output=uncertain; top1=Galagoides_demidovii p1=0.333; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_garnettii\O_garnettii_Chatter.wav,,,Otolemur_garnettii,,stub from cluster shortlist; folder_label=Otolemur_garnettii; output=uncertain; top1=Galagoides_sp_nov p1=0.333; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_garnettii\O_garnettii_Headless_Chicken_Squawkl.wav,,,Otolemur_garnettii,,stub from cluster shortlist; folder_label=Otolemur_garnettii; output=uncertain; top1=Galagoides_demidovii p1=0.333; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_garnettii\O_garnettii_Knock.wav,,,Otolemur_garnettii,,stub from cluster shortlist; folder_label=Otolemur_garnettii; output=uncertain; top1=Galagoides_demidovii p1=0.333; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_garnettii\O_garnettii_Squawk.wav,,,Otolemur_garnettii,,stub from cluster shortlist; folder_label=Otolemur_garnettii; output=uncertain; top1=Otolemur_crassicaudatus p1=0.333; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Chirrup G rondoensis - Rondo.wav,,,Paragalago_rondoensis,,stub from cluster shortlist; folder_label=Paragalago_rondoensis; output=uncertain; top1=Galago_senegalensis p1=0.333; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.1\Yap + Vib Squeaks  G sp nov 1.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=uncertain; top1=Galago_matschiei p1=0.333; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.1\Yap + Vib Squeaks_02 G sp nov 1.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=uncertain; top1=Galagoides_demidovii p1=0.333; EDIT species + add start/end if needed
