wav_path,start_sec,end_sec,species,population,notes,ingest
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Single Unit Rolling Call - G zanzibaricus - Pugu.wav,,,Paragalago_zanzibaricus,pugu,from shortlist priority=229.99; model_top1=Galagoides_sp_nov (0.333); source=predictions_3stage_tanzania_after_retrain.csv; filename_hint: zanzibaricus in filename under Paragalago_rondoensis folder,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Chatter G rondoensis - Rondo.wav,,,Paragalago_rondoensis,rondo,from shortlist priority=220.0; model_top1=Paragalago_orinus (1.000); source=predictions_3stage_tanzania_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_crassicaudatus\O_crassicaudatus_Chatter.wav,,,Otolemur_crassicaudatus,,from shortlist priority=199.99; model_top1=Galagoides_demidovii (0.333); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_crassicaudatus\O_crassicaudatus_Knocks.wav,,,Otolemur_crassicaudatus,,from shortlist priority=199.99; model_top1=Galagoides_demidovii (0.333); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_garnettii\O_garnettii_Chatter.wav,,,Otolemur_garnettii,,from shortlist priority=199.99; model_top1=Galagoides_sp_nov (0.333); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_garnettii\O_garnettii_Headless_Chicken_Squawkl.wav,,,Otolemur_garnettii,,from shortlist priority=199.99; model_top1=Galagoides_demidovii (0.333); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_garnettii\O_garnettii_Knock.wav,,,Otolemur_garnettii,,from shortlist priority=199.99; model_top1=Galagoides_demidovii (0.333); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_garnettii\O_garnettii_Squawk.wav,,,Otolemur_garnettii,,from shortlist priority=199.99; model_top1=Otolemur_crassicaudatus (0.333); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Chirrup G rondoensis - Rondo.wav,,,Paragalago_rondoensis,rondo,from shortlist priority=199.99; model_top1=Galago_senegalensis (0.333); source=predictions_3stage_tanzania_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.1\Yap + Vib Squeaks  G sp nov 1.wav,,,Galagoides_sp_nov,malawi_spnov1,from shortlist priority=199.99; model_top1=Galago_matschiei (0.333); source=predictions_3stage_malawi_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.1\Yap + Vib Squeaks_02 G sp nov 1.wav,,,Galagoides_sp_nov,malawi_spnov1,from shortlist priority=199.99; model_top1=Galagoides_demidovii (0.333); source=predictions_3stage_malawi_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Grunt + Buzz G sp nov 3.wav,,,Galagoides_sp_nov,malawi_spnov3,from shortlist priority=199.99; model_top1=Paragalago_orinus (0.333); source=predictions_3stage_malawi_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\durc_01.wav,,,Paragalago_rondoensis,,from shortlist priority=190.0; model_top1=Galagoides_demidovii (1.000); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Chatter G rondoensis - Pugu.wav,,,Paragalago_rondoensis,pugu,from shortlist priority=190.0; model_top1=Galagoides_demidovii (1.000); source=predictions_3stage_tanzania_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Double Unit Rolling Call - G rondoensis - Pugu.wav,,,Paragalago_rondoensis,pugu,from shortlist priority=190.0; model_top1=Galagoides_demidovii (1.000); source=predictions_3stage_tanzania_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Buzz + Rapid Whistle - G rondoensis -Pugu.wav,,,Paragalago_rondoensis,pugu,from shortlist priority=188.15; model_top1=Galagoides_demidovii (0.963); source=predictions_3stage_tanzania_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Buzz + Rapid whistle G rondoensis - Rondo.wav,,,Paragalago_rondoensis,rondo,from shortlist priority=180.0; model_top1=Galagoides_sp_nov (1.000); source=predictions_3stage_tanzania_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Pande-GR-durc1 24KHz.wav,,,Paragalago_rondoensis,pande,from shortlist priority=180.0; model_top1=Galagoides_sp_nov (1.000); source=predictions_3stage_tanzania_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Buzz - G rondoensis - Pugu.wav,,,Paragalago_rondoensis,pugu,from shortlist priority=178.15; model_top1=Galagoides_sp_nov (0.963); source=predictions_3stage_tanzania_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Double Squawk G rondoensis - Rondo.wav,,,Paragalago_rondoensis,rondo,from shortlist priority=178.15; model_top1=Galagoides_sp_nov (0.963); source=predictions_3stage_tanzania_after_retrain.csv; confirm/relabel by listening,yes
