wav_path,start_sec,end_sec,species,population,notes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.1\Buzz  G sp nov 1.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Otolemur_garnettii; top1=Otolemur_garnettii p1=1.000; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.1\Trumpet Short Screech G sp nov 1.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Otolemur_garnettii; top1=Otolemur_garnettii p1=1.000; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Chatter G sp nov 3.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Otolemur_garnettii; top1=Otolemur_garnettii p1=1.000; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Descending Whistle G sp nov 3.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Paragalago_orinus; top1=Paragalago_orinus p1=1.000; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Double Screech G sp nov 3.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Otolemur_crassicaudatus; top1=Otolemur_crassicaudatus p1=1.000; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Repetitive Call G sp nov 3.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Otolemur_crassicaudatus; top1=Otolemur_crassicaudatus p1=1.000; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Screech G sp nov 3.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Otolemur_crassicaudatus; top1=Otolemur_crassicaudatus p1=1.000; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Strident yap G sp nov 3.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Otolemur_crassicaudatus; top1=Otolemur_crassicaudatus p1=1.000; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Yaps Descending Screech G sp nov 3.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Otolemur_crassicaudatus; top1=Otolemur_crassicaudatus p1=1.000; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Grunts Yap G sp nov 3.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Galago_moholi; top1=Galago_moholi p1=0.975; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Yaps + Chatter staccato G sp nov 3.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Otolemur_crassicaudatus; top1=Otolemur_crassicaudatus p1=0.975; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Yaps + Rapid Whistle G sp nov 3.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Otolemur_crassicaudatus; top1=Otolemur_crassicaudatus p1=0.975; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.1\Incremental call - fast G sp nov 1.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Otolemur_garnettii; top1=Otolemur_garnettii p1=0.963; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.1\Screech  G sp nov 1.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Otolemur_garnettii; top1=Otolemur_garnettii p1=0.963; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.1\Yap + Vib Squeaks_02 G sp nov 1.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Otolemur_garnettii; top1=Otolemur_garnettii p1=0.963; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Double Squeak G sp nov 3.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Paragalago_orinus; top1=Paragalago_orinus p1=0.963; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.1\Yap + Vib Squeaks  G sp nov 1.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Otolemur_garnettii; top1=Otolemur_garnettii p1=0.947; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Grunt + Buzz G sp nov 3.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Otolemur_crassicaudatus; top1=Otolemur_crassicaudatus p1=0.423; EDIT species + add start/end if needed
